BAPRO;003;Banco De La Provincia De Buenos Aires
BAER;009;Banco De La Provincia De Entre Rios
CITI;011;First National City Bank of New York
TOKYO;012;The Bank Of Tokyo - Mitsubishi Ufj, Ltd.
BACOR;013;Banco De La Provincia De Cordoba S.A.
HSBC;014;The Hong Kong and Shanghai Banking Corporation
ICBC;015;Industrial and Commercial Bank of China
NACION;016;Banco de la Nacion Argentina
SRIO;017;Banco Santander Rio
BBVA;018;Banco Bilbao Vizcaya Argentaria
SVIELLE;023;Banco Supervielle S.A.
MACRO;028;Banco Macro
GALICIA;087;Banco Galicia
BSF;332;BANCO DE SERVICIOS FINANCIEROS S.A.
BRA;336;BANCO BRADESCO ARGENTINA S.A.
BST;338;BANCO DE SERVICIOS Y TRANSACCIONES S.A.
RCI;339;RCI BANQUE S.A.
BACS;340;BACS BANCO DE CREDITO Y SECURITIZACION S.A.
MVTA;341;BANCO MASVENTAS S.A.
NBER;386;NUEVO BANCO DE ENTRE RIOS S.A.
COL;389;BANCO COLUMBIA S.A.
